id,name,slug,party_key,party_label,chamber,constituency,photo_url,source_url,active,review_status
sen-ghita-robert-daniel,GHIȚĂ Robert-Daniel,ghita-robert-daniel,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.30 Olt,/photos/portraits/sen-ghita-robert-daniel.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=ac8c9401-1a0d-478b-b367-62212ecab1c5,true,approved
sen-graur-catalin,GRAUR Cătălin,graur-catalin,PSD,PSD,Senat,Circumscripţia electorală nr.41 Vrancea,/photos/portraits/sen-graur-catalin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=a8ff8991-97dd-4a5b-92a9-63c61a612f75,true,approved
sen-horga-maria-gabriela,HORGA Maria-Gabriela,horga-maria-gabriela,PNL,PNL,Senat,Circumscripţia electorală nr.19 Giurgiu,/photos/portraits/sen-horga-maria-gabriela.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=91a4d099-7162-417b-8f93-645dc31accf0,true,approved
sen-humelnicu-marius,HUMELNICU Marius,humelnicu-marius,PSD,PSD,Senat,Circumscripţia electorală nr.18 Galaţi,/photos/portraits/sen-humelnicu-marius.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=d172fe4e-c155-4f46-8859-6665840065a9,true,approved
sen-iacob-constantin-ciprian,IACOB Constantin-Ciprian,iacob-constantin-ciprian,AUR,AUR,Senat,Circumscripţia electorală nr.16 Dîmboviţa,/photos/portraits/sen-iacob-constantin-ciprian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e4de63cf-394d-49da-844a-6b060a232b35,true,approved
sen-jitaru-ovidiu,JITARU Ovidiu,jitaru-ovidiu,PNL,PNL,Senat,Circumscripţia electorală nr.07 Botoşani,/photos/portraits/sen-jitaru-ovidiu.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7193aafe-9862-45bf-b876-6f90dfa96616,true,approved
sen-lavric-sorin,LAVRIC Sorin,lavric-sorin,AUR,AUR,Senat,Circumscripţia electorală nr.29 Neamţ,/photos/portraits/sen-lavric-sorin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=781af753-0e1a-4820-9926-7191e4eb16df,true,approved
sen-manea-dumitru,MANEA Dumitru,manea-dumitru,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.24 Iaşi,/photos/portraits/sen-manea-dumitru.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e23f34ee-f4f8-4e72-8302-7453373e0cec,true,approved
sen-marian-calin-petru,MARIAN Călin-Petru,marian-calin-petru,PNL,PNL,Senat,Circumscripţia electorală nr.22 Hunedoara,/photos/portraits/sen-marian-calin-petru.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=509068b6-ecf9-4365-a022-74b77483ce14,true,approved
sen-mazilu-liviu-lucian,MAZILU Liviu-Lucian,mazilu-liviu-lucian,PSD,PSD,Senat,Circumscripţia electorală nr.27 Mehedinţi,/photos/portraits/sen-mazilu-liviu-lucian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=3abf38c7-fffe-4f34-b90a-77b5c3219da5,true,approved
sen-malaiescu-luca,MĂLĂIESCU Luca,malaiescu-luca,PSD,PSD,Senat,Circumscripţia electorală nr.11 Caraş-Severin,/photos/portraits/sen-malaiescu-luca.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b9350519-299b-4572-8d08-7aea22489f39,true,approved
sen-marginean-lucian,MĂRGINEAN Lucian,marginean-lucian,PSD,PSD,Senat,Circumscripţia electorală nr.28 Mureş,/photos/portraits/sen-marginean-lucian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=fee99943-2379-4151-8e9a-7b15d1f04a4f,true,approved
sen-mihai-daniela,MIHAI Daniela,mihai-daniela,PSD,PSD,Senat,Circumscripţia electorală nr.12 Călăraşi,/photos/portraits/sen-mihai-daniela.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=f640457c-0362-4c02-96d1-7c38b9957bdd,true,approved
sen-mircescu-ion-narcis,MIRCESCU Ion-Narcis,mircescu-ion-narcis,USR,USR,Senat,Circumscripţia electorală nr.03 Argeş,/photos/portraits/sen-mircescu-ion-narcis.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7a6ec680-9075-4fff-97d2-7d556f4d57bc,true,approved
sen-mindru-catalin-emil,MÎNDRU Cătălin-Emil,mindru-catalin-emil,USR,USR,Senat,Circumscripţia electorală nr.39 Vaslui,/photos/portraits/sen-mindru-catalin-emil.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=b70cfd7f-7726-4531-99d0-83ff6f6f05b3,true,approved
sen-mohan-aurel-george,MOHAN Aurel-George,mohan-aurel-george,PSD,PSD,Senat,Circumscripţia electorală nr.05 Bihor,/photos/portraits/sen-mohan-aurel-george.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=0692f467-f93f-4a21-a06a-8431696053a8,true,approved
sen-moise-sorin,MOISE Sorin,moise-sorin,PSD,PSD,Senat,Circumscripţia electorală nr.09 Brăila,/photos/portraits/sen-moise-sorin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=ad29025b-adcf-4c9d-8f02-851ab171ff91,true,approved
sen-neagu-nicolae,NEAGU Nicolae,neagu-nicolae,PNL,PNL,Senat,Circumscripţia electorală nr.34 Sibiu,/photos/portraits/sen-neagu-nicolae.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=bdd75da8-fc58-45c3-8765-87d17ea22c8d,true,approved
sen-negoi-eugen-remus,NEGOI Eugen-Remus,negoi-eugen-remus,USR,USR,Senat,Circumscripţia electorală nr.14 Constanţa,/photos/portraits/sen-negoi-eugen-remus.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=18f2771e-382a-4809-b1ab-8c8750fc5bf8,true,approved
sen-negru-corneliu,NEGRU Corneliu,negru-corneliu,AUR,AUR,Senat,Circumscripţia electorală nr.41 Vrancea,/photos/portraits/sen-negru-corneliu.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=c6be0951-8179-4ab1-8166-8cac4c1bf4d4,true,approved
sen-nicula-mircea-cristian,NICULA Mircea-Cristian,nicula-mircea-cristian,PSD,PSD,Senat,Circumscripţia electorală nr.06 Bistriţa-Năsăud,/photos/portraits/sen-nicula-mircea-cristian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=cb2ca5b6-ffeb-4fe8-a10c-87c4d61cacb0,true,approved
sen-novak-levente,NOVAK Levente,novak-levente,UDMR,UDMR,Senat,Circumscripţia electorală nr.28 Mureş,/photos/portraits/sen-novak-levente.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=2baeeba9-a861-4355-9c8e-8cebeba4f0d4,true,approved
sen-onea-olga,ONEA Olga,onea-olga,PACE,PACE,Senat,Circumscripţia electorală nr.18 Galaţi,/photos/portraits/sen-onea-olga.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7f782376-a244-4258-b5a5-911192e5566d,true,approved
sen-oprinoiu-aurel,OPRINOIU Aurel,oprinoiu-aurel,USR,USR,Senat,Circumscripţia electorală nr.31 Prahova,/photos/portraits/sen-oprinoiu-aurel.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=5954ccc9-0af9-409f-9b30-91c8b292d60d,true,approved
sen-orban-carmen,ORBAN Carmen,orban-carmen,PSD,PSD,Senat,Circumscripţia electorală nr.10 Buzău,/photos/portraits/sen-orban-carmen.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=86155ce0-9997-464a-ad63-93236f32f972,true,approved
sen-parasca-teofil,PARASCA Teofil,parasca-teofil,AUR,AUR,Senat,Circumscripţia electorală nr.02 Arad,/photos/portraits/sen-parasca-teofil.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=3953018d-3e06-4028-bc4b-953fb20f88e9,true,approved
sen-pauliuc-nicoleta,PAULIUC Nicoleta,pauliuc-nicoleta,PNL,PNL,Senat,Circumscripţia electorală nr.25 Ilfov,/photos/portraits/sen-pauliuc-nicoleta.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=737c18e7-c031-4d78-8808-9588b964e893,true,approved
